LINE ID	SPEAKER	NPCID	GetIsID	RACE	VOICE TYPE	QUEST	BRANCH	CATEGORY	TYPE	SUBTYPE	TOPIC	TOPICINFO	RESPONSE INDEX	FILENAME	FULL PATH	FILE FOUND	MODIFIED SINCE FILE CREATION	TOPIC TEXT	PROMPT	RESPONSE TEXT	EMOTION	POSTPROCESS	SCRIPT NOTES
FFFFFFFF	--	--	GetIsID == 1	--	AileenVoice	AileensGenericDialogue	AileenDismiss	Topic	PlayerDialogue	Custom	AileenDismissTopic	FormID 070008AC	1	AileensGen_AileenDismissTo_000008AC_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenDismissTo_000008AC_1.xwm	File Not Found		It's time for us to part ways.		Try not to be gone for too long...	Neutral 50			
FFFFFFFF	--	--	GetIsID == 1	--	AileenVoice	AileensGenericDialogue	AileenFollowerFavour	Topic	PlayerDialogue	Custom	AileenFollowerFavourTopic	FormID 070008AD	1	AileensGen_AileenFollowerF_000008AD_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenFollowerF_000008AD_1.xwm	File Not Found		I need you to do something.		What is it?	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Combat	Combat	Death	AileenDeath	FormID 07000891	1	AileensGen_AileenDeath_00000891_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenDeath_00000891_1.xwm	File Not Found				I don't want to go.	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Combat	Combat	Death	AileenDeath	FormID 07000892	1	AileensGen_AileenDeath_00000892_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenDeath_00000892_1.xwm	File Not Found				Please remember me.	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Combat	Combat	Death	AileenDeath	FormID 07000893	1	AileensGen_AileenDeath_00000893_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenDeath_00000893_1.xwm	File Not Found				I thought I could help.	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Combat	Combat	Death	AileenDeath	FormID 07000937	1	AileensGen_AileenDeath_00000937_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenDeath_00000937_1.xwm	File Not Found				It's...so....cold.	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Combat	Combat	BleedOut	AileenBleedout	FormID 07000888	1	AileensGen_AileenBleedout_00000888_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenBleedout_00000888_1.xwm	File Not Found				I can't get up...	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Combat	Combat	BleedOut	AileenBleedout	FormID 07000889	1	AileensGen_AileenBleedout_00000889_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenBleedout_00000889_1.xwm	File Not Found				I. I don't want to die.	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Combat	Combat	BleedOut	AileenBleedout	FormID 0700088A	1	AileensGen_AileenBleedout_0000088A_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenBleedout_0000088A_1.xwm	File Not Found				I'm scared.	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Combat	Combat	BleedOut	AileenBleedout	FormID 0700088B	1	AileensGen_AileenBleedout_0000088B_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenBleedout_0000088B_1.xwm	File Not Found				Please. Help.	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Combat	Combat	BleedOut	AileenBleedout	FormID 0700088C	1	AileensGen_AileenBleedout_0000088C_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenBleedout_0000088C_1.xwm	File Not Found				Everything hurts.	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Combat	Combat	BleedOut	AileenBleedout	FormID 0700088D	1	AileensGen_AileenBleedout_0000088D_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenBleedout_0000088D_1.xwm	File Not Found				Please don't leave me...	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Combat	Combat	BleedOut	AileenBleedout	FormID 0700088E	1	AileensGen_AileenBleedout_0000088E_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenBleedout_0000088E_1.xwm	File Not Found				I'm sorry.	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Combat	Combat	BleedOut	AileenBleedout	FormID 0700088F	1	AileensGen_AileenBleedout_0000088F_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenBleedout_0000088F_1.xwm	File Not Found				Keep them away from me.	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Combat	Combat	Flee	AileenFlee	FormID 0700087F	1	AileensGen_AileenFlee_0000087F_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenFlee_0000087F_1.xwm	File Not Found				I don't want to die here!	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Combat	Combat	Flee	AileenFlee	FormID 07000880	1	AileensGen_AileenFlee_00000880_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenFlee_00000880_1.xwm	File Not Found				Please don't make me stay.	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Combat	Combat	Flee	AileenFlee	FormID 07000881	1	AileensGen_AileenFlee_00000881_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenFlee_00000881_1.xwm	File Not Found				We need to leave!	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Combat	Combat	Flee	AileenFlee	FormID 07000882	1	AileensGen_AileenFlee_00000882_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenFlee_00000882_1.xwm	File Not Found				This is too much for me to handle.	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Combat	Combat	Flee	AileenFlee	FormID 07000883	1	AileensGen_AileenFlee_00000883_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenFlee_00000883_1.xwm	File Not Found				I can't handle this.	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Combat	Combat	Flee	AileenFlee	FormID 07000884	1	AileensGen_AileenFlee_00000884_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenFlee_00000884_1.xwm	File Not Found				We can come back later!	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Combat	Combat	Flee	AileenFlee	FormID 07000885	1	AileensGen_AileenFlee_00000885_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenFlee_00000885_1.xwm	File Not Found				No shame in leaving!	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Combat	Combat	Flee	AileenFlee	FormID 07000886	1	AileensGen_AileenFlee_00000886_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenFlee_00000886_1.xwm	File Not Found				There's too many of them!	Neutral 50			
FFFFFFFF	--	--	--	--	AileenVoice	AileensGenericDialogue	(none)	Combat	Combat	Hit	AileenHit	FormID 07000876	1	AileensGen_AileenHit_00000876_1	Data\Sound\Voice\Aileen Samson.esp\AileenVoice\AileensGen_AileenHit_00000876_1.xwm	File Not Found				Ah!	Neutral 50			
